7,28,49,20,4,0
2,30,43,17,39,0
4,26,45,20,25,0
1,26,47,13,29,0
0,23,46,20,34,0
3,21,49,10,11,1
2,24,41,11,31,1
5,30,46,15,38,1
2,30,40,11,18,1
6,25,44,16,22,0
7,30,44,13,7,1
6,20,41,9,38,0
4,24,49,18,9,1
6,26,48,15,16,1
5,26,44,12,19,1
3,21,44,9,18,1
2,24,42,13,26,0
7,20,50,10,27,1
5,28,47,14,32,0
5,21,47,13,0,0
4,25,40,15,38,0
1,26,50,20,19,1
7,23,40,11,22,1
8,27,41,14,30,0
1,29,47,20,20,0
0,26,44,16,11,1
7,29,42,12,8,0
0,22,40,19,21,1
3,22,43,11,18,1
6,20,41,13,12,1
5,22,49,10,9,1
4,27,45,11,1,1
8,25,47,10,21,0
6,26,49,17,15,1
4,21,47,16,34,1
5,30,48,12,33,0
0,26,40,13,5,1
6,27,47,15,23,0
0,28,49,11,26,0
0,24,43,11,21,1
5,22,44,11,25,1
7,23,45,12,25,0
7,20,41,17,19,1
2,29,43,10,24,1
5,30,47,13,11,1
2,26,41,11,0,1
2,23,41,11,40,0
7,25,44,13,4,1
0,28,43,15,27,0
8,20,44,11,17,1
5,20,42,9,17,1
0,29,44,17,21,0
6,30,41,10,3,0
4,29,43,16,6,0
3,22,43,14,8,0
0,22,41,9,30,1
5,26,49,16,11,1
7,22,44,19,19,1
5,26,49,14,6,1
8,29,48,18,20,0
1,22,45,20,33,1
2,23,42,14,22,0
2,24,41,13,29,0
8,30,50,15,37,0
3,30,40,13,24,1
2,23,49,15,19,1
4,24,46,11,29,0
6,20,45,19,10,1
6,21,43,12,31,0
3,24,41,15,36,0
1,20,42,11,11,0
0,28,47,17,29,0
4,27,46,15,15,0
3,24,47,14,17,1
6,26,47,16,1,0
7,30,50,19,26,0
3,29,40,12,9,0
4,22,42,20,12,1
5,26,42,18,21,1
7,25,42,13,39,0
7,21,40,15,10,0
0,27,44,13,3,1
1,20,46,11,13,1
0,25,42,17,4,1
3,29,44,19,32,0
4,21,48,16,32,1
4,29,46,18,7,0
7,24,49,19,22,1
0,26,48,14,25,1
5,27,49,15,5,1
0,29,43,17,35,1
7,28,43,11,1,1
4,24,40,16,1,1
0,29,41,13,32,1
4,21,41,10,35,0
4,26,45,12,26,1
2,20,42,14,2,1
3,21,49,20,6,0
8,22,46,19,23,0
5,22,49,9,29,0
7,29,44,14,24,0
5,23,49,18,23,1
5,26,41,20,34,0
5,22,44,18,33,1
0,22,43,11,7,1
5,30,46,15,39,0
4,28,48,19,33,1
7,24,49,18,12,0
1,25,43,12,7,0
8,29,46,9,23,0
2,20,46,14,17,1
3,28,50,13,36,0
2,25,50,19,14,1
8,25,41,17,19,1
7,29,40,20,40,1
2,22,40,20,6,0
5,24,49,19,13,1
3,24,43,13,28,1
6,21,48,17,16,1
7,27,40,10,9,1
3,21,43,18,25,0
8,24,44,17,32,0
5,25,46,14,18,1
2,28,49,10,13,0
4,24,50,12,40,0
4,27,40,9,4,0
7,22,47,13,33,0
5,30,45,14,15,1
2,30,41,20,24,0
3,21,45,17,6,0
6,30,40,12,1,1
4,20,50,18,0,1
2,25,42,17,17,1
4,25,40,12,10,0
7,20,41,16,21,1
6,29,49,20,16,0
3,25,48,12,13,1
4,29,47,9,17,1
0,20,45,20,22,0
5,29,44,10,36,1
2,21,48,18,3,0
2,26,43,11,2,0
5,23,42,19,11,0
2,24,48,9,0,0
7,20,46,15,0,1
4,23,40,19,7,0
0,20,46,20,40,0
7,27,42,12,5,1
0,23,47,13,39,0
2,30,41,19,12,1
2,27,50,13,20,0
0,29,42,11,19,0
4,24,44,17,12,0
6,22,48,14,27,1
3,27,46,12,14,0
8,26,45,19,5,0
7,28,46,20,8,1
6,24,50,9,19,1
4,29,46,10,34,0
2,27,41,13,2,0
0,20,50,13,0,0
7,20,45,18,36,0
5,27,44,16,14,0
4,22,44,19,15,0
6,20,48,12,26,0
3,25,40,14,12,1
6,20,45,12,22,0
8,23,46,10,30,1
0,30,50,11,5,0
4,23,43,15,39,0
3,30,45,18,34,1
7,20,40,14,11,0
1,26,42,10,3,1
3,26,46,16,1,1
2,29,40,11,17,1
4,26,42,11,30,0
4,20,40,13,5,1
7,20,48,20,24,0
3,27,44,15,5,1
7,26,45,12,12,1
3,22,46,13,27,0
4,27,49,13,40,1
2,23,45,12,39,0
0,24,48,15,35,1
4,28,47,13,7,1
0,20,44,10,13,0
8,27,46,18,12,0
2,29,49,10,1,0
1,29,48,20,1,1
6,22,43,10,17,0
0,25,44,19,5,0
2,22,49,12,40,1
3,28,43,14,22,0
2,24,49,16,38,0
0,28,44,9,29,1
4,27,47,14,11,0
8,27,49,13,3,1
1,23,41,16,21,1
4,25,40,20,36,1
6,23,43,19,35,0
1,25,45,9,4,1
7,27,44,20,10,0
0,30,43,16,15,0
2,26,42,10,20,0
4,22,44,17,6,1
1,30,49,17,7,1
2,20,50,16,24,0
1,29,50,15,38,1
4,24,44,15,5,1
6,27,45,11,9,1
7,24,41,17,7,1
8,23,44,19,12,0
2,22,40,10,15,1
2,24,48,15,22,0
6,28,42,20,1,0
2,22,40,18,5,1
7,25,41,13,2,1
0,26,45,12,0,1
4,28,43,16,24,0
6,22,50,12,2,1
3,21,40,16,1,0
0,30,40,20,3,1
8,27,42,15,34,1
6,21,49,9,40,0
4,24,40,18,23,0
2,20,41,19,18,0
8,30,41,12,3,1
3,26,47,11,37,0
7,21,43,16,4,0
5,29,45,11,16,0
1,27,40,20,5,0
4,22,41,15,4,1
6,25,44,20,14,0
3,25,43,19,35,1
1,30,43,20,9,0
1,27,44,11,23,1
8,20,45,9,19,1
6,29,49,18,4,1
5,26,40,9,7,0
6,29,49,17,5,0
4,30,45,13,40,1
5,22,49,19,1,1
8,26,44,9,33,1
3,24,49,15,34,0
3,29,43,19,27,1
4,23,42,9,36,1
4,21,46,15,11,1
2,22,40,20,26,0
4,27,41,10,30,0
5,20,46,10,10,1
4,20,44,9,6,1
3,30,41,11,13,0
5,22,44,9,13,1
0,20,44,12,13,0
5,20,41,16,0,0
7,23,41,14,21,0
2,27,47,16,6,1
8,28,44,19,11,0
5,27,50,17,22,1
5,23,47,18,2,1
1,20,50,19,0,0
4,23,43,17,35,1
0,30,45,12,38,1
3,24,42,13,6,1
8,22,48,9,16,0
2,28,41,13,30,0
3,25,49,12,32,0
3,28,50,11,7,1
2,20,42,16,18,0
7,25,41,17,23,1
4,27,47,18,29,0
0,21,50,10,23,0
3,26,40,20,11,0
1,28,40,16,3,0
1,24,40,12,18,1
3,30,49,18,30,0
2,23,50,11,13,0
2,22,46,11,16,1
5,26,45,13,29,0
